Title,Company,Job Link,Apply Link,Description,img_link
Frontend Developer Intern,Fabulous Media,https://www.linkedin.com/jobs/view/4392267376/,https://www.linkedin.com/jobs/view/4392267376/,"About the job
Job Summary

We are looking for programmers with a keen eye for design for the position of front end developer. Front end developers are responsible for ensuring the alignment of web design and user experience requirements, optimizing web pages for maximum efficiency, and maintaining brand consistency across all web pages, among other duties.

Front end developers are required to work in teams alongside back end developers, graphic designers, and user experience designers to ensure all elements of web creation are consistent. This requires excellent communication and interpersonal skills.

Responsibilities

Determining the structure and design of web pages.
Ensuring user experience determines design choices.
Developing features to enhance the user experience.
Striking a balance between functional and aesthetic design.
Ensuring web design is optimized for smartphones.
Building reusable code for future use.
Optimizing web pages for maximum speed and scalability.
Utilizing a variety of markup languages to write web pages.
Maintaining brand consistency throughout the design.

Requirements

Degree in computer science or related field.
Understanding of key design principles.
Proficiency in HTML, CSS, JavaScript, and jQuery.
Understanding of server-side CSS.
Understanding graphic design applications such as Adobe Illustrator.
Good record in responsive and adaptive design.
Understanding of SEO principles.
Good problem-solving skills.
Excellent verbal communication skills.
Good interpersonal skills.",https://media.licdn.com/dms/image/v2/C4E0BAQFNrut9MyZ1hA/company-logo_100_100/company-logo_100_100/0/1631343692708?e=1776297600&v=beta&t=dxEXs3PEaIRv4Sr198tBcVNsdsT0455MC-3qdCTf0uE
ReactJS Development Internship in Delhi,YMGrad,https://www.linkedin.com/jobs/view/4389446523,https://www.linkedin.com/jobs/view/4389446523,"About the job
This job is sourced from a job board. Learn More
Selected Intern's Day-to-day Responsibilities Include

 Collaborating with the team to understand project requirements and contribute to the design and implementation of new features
 Writing code and implementing assigned tasks under the guidance of senior developers
 Conducting thorough testing of the application to identify and report any issues or bugs
 Participating in code reviews and learning from feedback provided by senior developers
 Working on being proactive in seeking learning opportunities and asking questions to enhance your understanding and skills in React Native development

About Company: YMGrad is your gateway to study abroad, providing everything from admits, rejects, profile evaluation, university shortlisting, and SOP/LOR help. Make the best of the only time you are going to be applying to universities. Most people only go through this process once in their lifetime. If done right, your dream university awaits you.

Desired Skills and Experience
HTML, CSS, JavaScript, React, React Native",https://media.licdn.com/dms/image/v2/C510BAQEUKnZ9xK2avA/company-logo_100_100/company-logo_100_100/0/1630614349425?e=1776297600&v=beta&t=mVsUpe1pFpl0cbHokedJoOREjPG2wGjQVQQEhT6b__4
web developer,Finhence,https://www.linkedin.com/jobs/view/4389446523,https://www.linkedin.com/jobs/view/4389446523,"About the job
This job is sourced from a job board. Learn More
looking for a frontend web developer intern for the duration of 4 months.

should have basic knowledge of UI/U, PHP , MYSQL, CSS, BOOTSTRAP Skills:- PHP, Bootstrap, MySQL, User Interface (UI) Design, User Experience (UX) Design and HTML/CSS",https://media.licdn.com/dms/image/v2/C4D0BAQFQRcaGclpB9w/company-logo_100_100/company-logo_100_100/0/1652448254633/finhence_logo?e=1776297600&v=beta&t=7_hYLiE8vN3kRR8FhiIrPucSM0uYwRux-ucC2yB2JjY
SDE Intern,Hyperqube Ionic,https://www.linkedin.com/jobs/view/4391241613,https://www.linkedin.com/jobs/view/4391241613,"About the job
Company Overview:
Hyperqube Ionic is at the forefront of developing scalable technology infrastructure redefining how private capital forms conviction, builds trust, and moves into companies. Through our proprietary technology and machine learning algorithms, we uncover hidden signals, standardize information, unlock better decision-making, cull noise, and ensure faster outcomes.

We are pioneering the development of the missing operating system of private markets with the objective of eliminating the outdated practices that make private markets inefficient and fragmented. We are sector- and stage-agnostic, and leverage our proprietary approaches and data gathering pipelines to uncover market intelligence most relevant to modern businesses and investors. 

Founded by an IIT Delhi alumnus, NYU Stern MBA and former NYC investment banker, the firm aims to utilize a strong understanding and know-how of private markets to deliver a compelling value proposition to all participants involved.

Job Description:
We are seeking talented SDE Interns to join our team! As an intern, you will assist in the development of our web applications using TypeScript, React, Next.js and Node.js. You will work to build high-quality, user-friendly interfaces.

Non-negotiable requirement: Candidates who are unable to dedicate a few hours daily SHOULD NOT APPLY

Responsibilities:
- Assist in building and maintaining web applications using React/Next.js, Node.js/Express 
- Write clean, efficient, and well-documented code 
- Participate in code reviews and contribute to the improvement of the codebase 
- Collaborate with designers to translate designs into functional components 
- Implement responsive and mobile-friendly designs 
- Troubleshoot and debug issues with the frontend code 
- Stay up to date with industry trends and emerging technologies 

Requirements:
- Currently pursuing or 2025 pass out with a degree in Computer Science or related field 
- Backend and frontend familiarity
- Proficiency in TypeScript, React/Next.js, Node.js 
- Familiarity with HTML, CSS, and JavaScript 
- Experience with version control systems (e.g., Git) 
- Strong problem-solving skills and attention to detail 
- Excellent communication and teamwork skills 
- Ability to learn quickly and adapt to new technologies 

Nice to Have:
- Experience with state management libraries (e.g., Redux, MobX) 
- Knowledge of web performance optimization techniques 
- Familiarity with testing frameworks (e.g., Jest, Enzyme) 
- Experience with CSS-in-JS libraries (e.g., styled-components, emotion) 

Compensation:
- Above market comp
- Base stipend paid monthly
- Assured bonus (one-time, end of internship, guaranteed on satisfactory completion of internship)
- Performance-linked bonus (one-time, end of internship, not guaranteed)

What We Offer:
- Opportunity to work on real-world projects and contribute to our products 
- Mentorship from experienced developers 
- Collaborative and dynamic work environment 
- Flexible working hours and remote work options 
- Access to cutting-edge technologies and tools 
- Fun and inclusive company culture 

Duration:
- 3 months (extendable based on performance and requirement)

Location:
- Remote 

If you are passionate about front-end and back-end development and want to grow with our team, send us your resume via the easy apply link!",https://media.licdn.com/dms/image/v2/D560BAQGfY7IzJUkZkg/company-logo_100_100/company-logo_100_100/0/1727618037754/hyperqube_ionic_logo?e=1776297600&v=beta&t=__p3HokvIG0Fdd4sbogfOQhdo2KD751FhygnRt9WlLM
SDE Intern,Hyperqube Ionic,https://www.linkedin.com/jobs/view/4391241613,https://www.linkedin.com/jobs/view/4391241613,"About the job
Company Overview:
Hyperqube Ionic is at the forefront of developing scalable technology infrastructure redefining how private capital forms conviction, builds trust, and moves into companies. Through our proprietary technology and machine learning algorithms, we uncover hidden signals, standardize information, unlock better decision-making, cull noise, and ensure faster outcomes.

We are pioneering the development of the missing operating system of private markets with the objective of eliminating the outdated practices that make private markets inefficient and fragmented. We are sector- and stage-agnostic, and leverage our proprietary approaches and data gathering pipelines to uncover market intelligence most relevant to modern businesses and investors. 

Founded by an IIT Delhi alumnus, NYU Stern MBA and former NYC investment banker, the firm aims to utilize a strong understanding and know-how of private markets to deliver a compelling value proposition to all participants involved.

Job Description:
We are seeking talented SDE Interns to join our team! As an intern, you will assist in the development of our web applications using TypeScript, React, Next.js and Node.js. You will work to build high-quality, user-friendly interfaces.

Non-negotiable requirement: Candidates who are unable to dedicate a few hours daily SHOULD NOT APPLY

Responsibilities:
- Assist in building and maintaining web applications using React/Next.js, Node.js/Express 
- Write clean, efficient, and well-documented code 
- Participate in code reviews and contribute to the improvement of the codebase 
- Collaborate with designers to translate designs into functional components 
- Implement responsive and mobile-friendly designs 
- Troubleshoot and debug issues with the frontend code 
- Stay up to date with industry trends and emerging technologies 

Requirements:
- Currently pursuing or 2025 pass out with a degree in Computer Science or related field 
- Backend and frontend familiarity
- Proficiency in TypeScript, React/Next.js, Node.js 
- Familiarity with HTML, CSS, and JavaScript 
- Experience with version control systems (e.g., Git) 
- Strong problem-solving skills and attention to detail 
- Excellent communication and teamwork skills 
- Ability to learn quickly and adapt to new technologies 

Nice to Have:
- Experience with state management libraries (e.g., Redux, MobX) 
- Knowledge of web performance optimization techniques 
- Familiarity with testing frameworks (e.g., Jest, Enzyme) 
- Experience with CSS-in-JS libraries (e.g., styled-components, emotion) 

Compensation:
- Above market comp
- Base stipend paid monthly
- Assured bonus (one-time, end of internship, guaranteed on satisfactory completion of internship)
- Performance-linked bonus (one-time, end of internship, not guaranteed)

What We Offer:
- Opportunity to work on real-world projects and contribute to our products 
- Mentorship from experienced developers 
- Collaborative and dynamic work environment 
- Flexible working hours and remote work options 
- Access to cutting-edge technologies and tools 
- Fun and inclusive company culture 

Duration:
- 3 months (extendable based on performance and requirement)

Location:
- Remote 

If you are passionate about front-end and back-end development and want to grow with our team, send us your resume via the easy apply link!",N/A
AI Agent Development Internship in Delhi (Hybrid),Sujagat AI Technology Private Limited,https://www.linkedin.com/jobs/view/4388148693,https://www.linkedin.com/jobs/view/4388148693,"About the job
This job is sourced from a job board. Learn More
Selected Intern's Day-to-day Responsibilities Include

 Collaborate with the development team to build and enhance features of the AI web builder and AI agent builder
 Assist in frontend development using React.js and Angular for different technology stacks.
 Support backend API development using Node.js and Express.js.
 Help integrate AI/ML components (NLP, Large language model, content generation APIs, RAG, Lang graph) with the platform.
 Work on creating and managing static and dynamic HTML templates.

Support testing, debugging, and documentation efforts.

About Company: We are a leading provider of IT and AI products and services, dedicated to empowering businesses with innovative, intelligent solutions. Our expertise includes machine learning, natural language processing, AI consulting, automation, web development, cloud support, resource outsourcing, and product development support. We help organizations transform data into actionable insights and streamline operations through AI-driven platforms for analytics, predictive modeling, and workflow automation, all while ensuring seamless integration with existing IT systems. Focused on secure, scalable, and customized solutions, we guide enterprises through digital transformation enabling smarter decision-making and sustained growth in today's data-driven landscape.

Desired Skills and Experience
LLM evaluation, Python, Machine Learning, REST API, Predictive Analytics, Deep Learning, MERN, OpenAI API, Machine Learning Operations (MLOps), Gemini",https://media.licdn.com/dms/image/v2/D560BAQGBFEG-Z_NPLw/company-logo_100_100/B56Zi8jhYoHMAQ-/0/1755510086386?e=1776297600&v=beta&t=O8B3gbrM8t4IuIcndAS0OzQhOfpoBs0f3YF4wV8FmSw
AI Agent Development Internship in Delhi (Hybrid),Sujagat AI Technology Private Limited,https://www.linkedin.com/jobs/view/4388148693,https://www.linkedin.com/jobs/view/4388148693,"About the job
This job is sourced from a job board. Learn More
Selected Intern's Day-to-day Responsibilities Include

 Collaborate with the development team to build and enhance features of the AI web builder and AI agent builder
 Assist in frontend development using React.js and Angular for different technology stacks.
 Support backend API development using Node.js and Express.js.
 Help integrate AI/ML components (NLP, Large language model, content generation APIs, RAG, Lang graph) with the platform.
 Work on creating and managing static and dynamic HTML templates.

Support testing, debugging, and documentation efforts.

About Company: We are a leading provider of IT and AI products and services, dedicated to empowering businesses with innovative, intelligent solutions. Our expertise includes machine learning, natural language processing, AI consulting, automation, web development, cloud support, resource outsourcing, and product development support. We help organizations transform data into actionable insights and streamline operations through AI-driven platforms for analytics, predictive modeling, and workflow automation, all while ensuring seamless integration with existing IT systems. Focused on secure, scalable, and customized solutions, we guide enterprises through digital transformation enabling smarter decision-making and sustained growth in today's data-driven landscape.

Desired Skills and Experience
LLM evaluation, Python, Machine Learning, REST API, Predictive Analytics, Deep Learning, MERN, OpenAI API, Machine Learning Operations (MLOps), Gemini",N/A
"Web Development Internship in Delhi, Gurgaon",GoETra,https://www.linkedin.com/jobs/view/4380591639,https://www.linkedin.com/jobs/view/4380591639,"About the job
This job is sourced from a job board. Learn More
Selected Intern's Day-to-day Responsibilities Include

 Working on website designing with good UI
 Working on PHP
Knowledge of DB & chat gpt code handling

About Company: GoETra is a high-quality solution for those who want to earn while traveling, and those who want to deliver packages in a cheap and quick manner.

Desired Skills and Experience
Bootstrap, PHP, MySQL, HTML, CSS, JavaScript",https://media.licdn.com/dms/image/v2/C4E0BAQG2lJrjcv49yA/company-logo_100_100/company-logo_100_100/0/1630636481564/goetra_logo?e=1776297600&v=beta&t=9jedKaGEvCviF8hWZ0Dvl5l5asFKpFuvUTSNqBs9ap8
"Web Development Internship in Delhi, Gurgaon",GoETra,https://www.linkedin.com/jobs/view/4380591639,https://www.linkedin.com/jobs/view/4380591639,"About the job
This job is sourced from a job board. Learn More
Selected Intern's Day-to-day Responsibilities Include

 Working on website designing with good UI
 Working on PHP
Knowledge of DB & chat gpt code handling

About Company: GoETra is a high-quality solution for those who want to earn while traveling, and those who want to deliver packages in a cheap and quick manner.

Desired Skills and Experience
Bootstrap, PHP, MySQL, HTML, CSS, JavaScript",N/A
"Web Development Internship in Delhi, Gurgaon",GoETra,https://www.linkedin.com/jobs/view/4380703043,https://www.linkedin.com/jobs/view/4380703043,"About the job
This job is sourced from a job board. Learn More
Selected Intern's Day-to-day Responsibilities Include

 Working on website designing with good UI
 Working on PHP
Knowledge of DB & chat gpt code handling

About Company: GoETra is a high-quality solution for those who want to earn while traveling, and those who want to deliver packages in a cheap and quick manner.

Desired Skills and Experience
Bootstrap, PHP, MySQL, HTML, CSS, JavaScript",https://media.licdn.com/dms/image/v2/C4E0BAQG2lJrjcv49yA/company-logo_100_100/company-logo_100_100/0/1630636481564/goetra_logo?e=1776297600&v=beta&t=9jedKaGEvCviF8hWZ0Dvl5l5asFKpFuvUTSNqBs9ap8
