Title,Company,Job Link,Apply Link,Description,img_link
"Data Science Internship in Noida, Faridabad, Ghaziabad, Gurgaon, Delhi",MCUBE AI PRIVATE LIMITED,https://www.linkedin.com/jobs/view/4387761913,https://www.linkedin.com/jobs/view/4387761913,"About the job
This job is sourced from a job board. Learn More
work location - Gurgaon

Selected Intern's Day-to-day Responsibilities Include

 Work closely with our team of data scientists to analyze and interpret complex data sets.
 Research emerging trends in data science and AI to drive innovation.
 Assist in data cleaning, preprocessing, and visualization to extract actionable insights.
 Present findings and recommendations to senior management clearly and concisely.
 Develop and implement machine learning models to improve our AI algorithms.
 Utilize NLP techniques to enhance our natural language processing capabilities.
 Collaborate with cross-functional teams to integrate AI solutions into our products.

About Company: We are an AI native product development organization, where we design and ship fully AI-native products - from concept to production. Whether we are building an AI-powered app, internal platform, automation suite, or enterprise tool, we engineer systems that treat AI as the core engine, not an add-on.

Desired Skills and Experience
Deep Learning, Artificial intelligence, Python, SQL, Data Analytics, Machine Learning, Data Science, Natural Language Processing (NLP)",https://media.licdn.com/dms/image/v2/D560BAQEyDj86mzIOjA/company-logo_100_100/B56ZyJx4.fJUAU-/0/1771838083496?e=1776297600&v=beta&t=6bpDxSYgoD0n6ezP8Auy-55nOVNgmcT27btciSk0hI4
"Data Science Internship in Noida, Faridabad, Ghaziabad, Gurgaon, Delhi",MCUBE AI PRIVATE LIMITED,https://www.linkedin.com/jobs/view/4384513933,https://www.linkedin.com/jobs/view/4384513933,"About the job
This job is sourced from a job board. Learn More
work location - Gurgaon

Selected Intern's Day-to-day Responsibilities Include

 Work closely with our team of data scientists to analyze and interpret complex data sets.
 Research emerging trends in data science and AI to drive innovation.
 Assist in data cleaning, preprocessing, and visualization to extract actionable insights.
 Present findings and recommendations to senior management clearly and concisely.
 Develop and implement machine learning models to improve our AI algorithms.
 Utilize NLP techniques to enhance our natural language processing capabilities.
 Collaborate with cross-functional teams to integrate AI solutions into our products.

About Company: We are an AI native product development organization, where we design and ship fully AI-native products - from concept to production. Whether we are building an AI-powered app, internal platform, automation suite, or enterprise tool, we engineer systems that treat AI as the core engine, not an add-on.

Desired Skills and Experience
Deep Learning, Artificial intelligence, Python, SQL, Data Analytics, Machine Learning, Data Science, Natural Language Processing (NLP)",N/A
"Data Science Internship in Noida, Faridabad, Ghaziabad, Gurgaon, Delhi",MCUBE AI PRIVATE LIMITED,https://www.linkedin.com/jobs/view/4384514869,https://www.linkedin.com/jobs/view/4384514869,"About the job
This job is sourced from a job board. Learn More
work location - Gurgaon

Selected Intern's Day-to-day Responsibilities Include

 Work closely with our team of data scientists to analyze and interpret complex data sets.
 Research emerging trends in data science and AI to drive innovation.
 Assist in data cleaning, preprocessing, and visualization to extract actionable insights.
 Present findings and recommendations to senior management clearly and concisely.
 Develop and implement machine learning models to improve our AI algorithms.
 Utilize NLP techniques to enhance our natural language processing capabilities.
 Collaborate with cross-functional teams to integrate AI solutions into our products.

About Company: We are an AI native product development organization, where we design and ship fully AI-native products - from concept to production. Whether we are building an AI-powered app, internal platform, automation suite, or enterprise tool, we engineer systems that treat AI as the core engine, not an add-on.

Desired Skills and Experience
Deep Learning, Artificial intelligence, Python, SQL, Data Analytics, Machine Learning, Data Science, Natural Language Processing (NLP)",https://media.licdn.com/dms/image/v2/D560BAQEyDj86mzIOjA/company-logo_100_100/B56ZyJx4.fJUAU-/0/1771838083496?e=1776297600&v=beta&t=6bpDxSYgoD0n6ezP8Auy-55nOVNgmcT27btciSk0hI4
"Data Science Internship in Noida, Faridabad, Ghaziabad, Gurgaon, Delhi",MCUBE AI PRIVATE LIMITED,https://www.linkedin.com/jobs/view/4384514869,https://www.linkedin.com/jobs/view/4384514869,"About the job
This job is sourced from a job board. Learn More
work location - Gurgaon

Selected Intern's Day-to-day Responsibilities Include

 Work closely with our team of data scientists to analyze and interpret complex data sets.
 Research emerging trends in data science and AI to drive innovation.
 Assist in data cleaning, preprocessing, and visualization to extract actionable insights.
 Present findings and recommendations to senior management clearly and concisely.
 Develop and implement machine learning models to improve our AI algorithms.
 Utilize NLP techniques to enhance our natural language processing capabilities.
 Collaborate with cross-functional teams to integrate AI solutions into our products.

About Company: We are an AI native product development organization, where we design and ship fully AI-native products - from concept to production. Whether we are building an AI-powered app, internal platform, automation suite, or enterprise tool, we engineer systems that treat AI as the core engine, not an add-on.

Desired Skills and Experience
Deep Learning, Artificial intelligence, Python, SQL, Data Analytics, Machine Learning, Data Science, Natural Language Processing (NLP)",N/A
"Data Science Internship in Noida, Faridabad, Ghaziabad, Gurgaon, Delhi",MCUBE AI PRIVATE LIMITED,https://www.linkedin.com/jobs/view/4384514869,https://www.linkedin.com/jobs/view/4384514869,"About the job
This job is sourced from a job board. Learn More
work location - Gurgaon

Selected Intern's Day-to-day Responsibilities Include

 Work closely with our team of data scientists to analyze and interpret complex data sets.
 Research emerging trends in data science and AI to drive innovation.
 Assist in data cleaning, preprocessing, and visualization to extract actionable insights.
 Present findings and recommendations to senior management clearly and concisely.
 Develop and implement machine learning models to improve our AI algorithms.
 Utilize NLP techniques to enhance our natural language processing capabilities.
 Collaborate with cross-functional teams to integrate AI solutions into our products.

About Company: We are an AI native product development organization, where we design and ship fully AI-native products - from concept to production. Whether we are building an AI-powered app, internal platform, automation suite, or enterprise tool, we engineer systems that treat AI as the core engine, not an add-on.

Desired Skills and Experience
Deep Learning, Artificial intelligence, Python, SQL, Data Analytics, Machine Learning, Data Science, Natural Language Processing (NLP)",https://media.licdn.com/dms/image/v2/C4D0BAQH5ZspyTGAmSw/company-logo_100_100/company-logo_100_100/0/1630552188135/wri_india_logo?e=1776297600&v=beta&t=E3FykgQGuN_QEEwz6lgcSVz140ouh4WXg5tUpN_YjU8
"Data Science Internship in Noida, Faridabad, Ghaziabad, Gurgaon, Delhi",MCUBE AI PRIVATE LIMITED,https://www.linkedin.com/jobs/view/4384514869,https://www.linkedin.com/jobs/view/4384514869,"About the job
This job is sourced from a job board. Learn More
work location - Gurgaon

Selected Intern's Day-to-day Responsibilities Include

 Work closely with our team of data scientists to analyze and interpret complex data sets.
 Research emerging trends in data science and AI to drive innovation.
 Assist in data cleaning, preprocessing, and visualization to extract actionable insights.
 Present findings and recommendations to senior management clearly and concisely.
 Develop and implement machine learning models to improve our AI algorithms.
 Utilize NLP techniques to enhance our natural language processing capabilities.
 Collaborate with cross-functional teams to integrate AI solutions into our products.

About Company: We are an AI native product development organization, where we design and ship fully AI-native products - from concept to production. Whether we are building an AI-powered app, internal platform, automation suite, or enterprise tool, we engineer systems that treat AI as the core engine, not an add-on.

Desired Skills and Experience
Deep Learning, Artificial intelligence, Python, SQL, Data Analytics, Machine Learning, Data Science, Natural Language Processing (NLP)",N/A
Intern – Demand Analysis & Modeling,WRI India,https://www.linkedin.com/jobs/view/4389559019,https://www.linkedin.com/jobs/view/4389559019,"About the job
About us
WRI India, an independent charity legally registered as the India Resources Trust, provides objective information and practical proposals to foster environmentally sound and socially equitable development. Through research, analysis, and recommendations, WRI India puts ideas into action to build transformative solutions to protect the earth, promote livelihoods, and enhance human well-being. Know more: https://wri-india.org/

Program Overview for Energy
The objective of the WRI India energy program is to inform and guide India’s transition to cleaner energy through strong research, ground-level implementation experience, partnerships with key stakeholders and communicating our work. The 5 pillars of the energy program focus on increasing clean energy demand, increasing clean energy supply, supporting sub-national energy transitions, raising the issues of materials and circularity for the energy transition and ensuring equitable development through energy transitions.

Job Highlight:
WRI India is seeking an intern for the Energy Program to support our work on demand modeling. The intern will support various ongoing research initiatives through literature review, data collection and analysis, modeling and simulation. forecasting electricity usage, shaping long-term energy strategies, and ensuring grid reliability. This position involves use of statistical, econometric, and machine learning models to analyze electricity demand drivers and consumer behaviour to predict future energy needs. This role offers an excellent opportunity to engage in impactful research and work closely on forecasting electricity usage, shaping energy strategies for clean, affordable and reliable power.

While a primary area of engagement will be assisting the team in undertaking research around electricity demand, the interns will also contribute to broader programmatic work. This includes supporting ongoing initiatives focused on sub-national energy transitions, promoting clean energy adoption, decarbonization of demand and ensuring equitable development outcomes.

What you will do:
Data Collection & Analysis
Collate data from different sources on electricity demand growth including seasonal patterns, appliance penetration, electric vehicle growth, industrial decarbonisation etc.
Explore open data sets, Application Program Interface (API) based data collection and identify relevant datasets for electricity demand research
Support the team in collecting quantitative and qualitative data from various sources and create datasets including extraction of real-time and historical energy consumption data from APIs
Conduct data analysis of large data sets and generate graphs, insights, dashboards etc.
Test different methodologies and tools for demand forecasting and provide feedback.
Assist the team in developing demand models and conduct simulations with appropriate machine learning techniques if requited.

Research & documentation
Undertake research on electricity demand growth in India focused on changes in end uses like space cooling, data centres, cold chain, electric vehicles, industrial decarbonisation etc.
Conduct reviews relevant power sector policy, regulations, and utility practices such as demand forecasting, resource adequacy, electricity tariff setting, and clean energy adoption.
Support background research and literature on research papers and reports related to global energy transition.
Documentation 
Prepare notes and summaries for stakeholder discussions and interviews, and other relevant reports.
Support drafting of working documents, briefs, and presentation material for internal and external dissemination

What you will need:
Master's degree in engineering, energy systems, public policy, economics, environmental studies, or related fields.
Proficiency in quantitative and qualitative research
Proficiency in MS Office and Python coding is essential. Experience in other data analysis and visualization tools is good.
Good analytical and writing skills are needed.
Ability to present complex information in a clear and concise manner, think creatively, work efficiently under high pressure.

Location: Delhi/Mumbai/Bengaluru 
Duration: 6 months
Stipend: ₹25,000 per month 

How to Apply: 
 Only Qualified applicants should apply by sending across the following:
Cover letter 
Curriculum vitae of no more than 2 A4 sized pages detailing academic and relevant experience. 
A sample of research based writing that demonstrates analytical capabilities. This could be a paper or a dissertation chapter.
A 2 page summary of the above sample of research based writing targeted for a general (non-technical) audience.
Names and contact details of three referees who can attest to the capabilities of the applicant. 

Only select applicants will be contacted for interview purpose.
Finalized candidate will be required to take an analytical test.

Diversity, Equity, and Inclusion (DEI) @WRI India
WRI India values and promotes diversity, equity and inclusion across all areas of our work and workforce. Integrating these values into our actions fosters a progressive and collaborative culture and can also enhance our impact. It is our responsibility to create a welcoming working environment for people of diverse cultures, backgrounds and experience to learn together. We are responsible for fostering a safe and inclusive workplace where questions, concerns and information about diversity, equity and inclusion are part of our ongoing dialogue and development.
Learn more about WRI India’s commitment to Diversity, Equity, and Inclusion (DEI). Click Here",N/A
"AI Researcher, Speech & Audio, Intern | Josh Talks",Josh Talks,https://www.linkedin.com/jobs/view/4303750047,https://www.linkedin.com/jobs/view/4303750047,"About the job
This job is sourced from a job board. Learn More
form :https://forms.gle/ncGqEJrJDvEDhXtL7

AI Researcher, Speech & Audio, Intern -

Internship Opportunity at JoshTalks AI Lab

(ai.joshtalks.com)

Location: Gurgaon, India

Type: Full-time Internship (6–12 months)

Who: Final-year engineering students or recent graduates passionate about AI/ML

in speech

About Us

At JoshTalks AI Lab, we believe that voice will be the primary medium of interaction

between man and machine. Our mission is simple yet ambitious:

Help machines talk like humans.
Build the benchmarks and datasets that become the backbone of global

progress in speech AI.

Drive improvements not just through compute or algorithms — but through

high-quality, diverse, real-world data.

Our datasets today power some of the largest and most widely used speech

models in the world (you’ve definitely used them, even if we can’t name them

😉).

What You’ll Work On

This is not a “just another internship.” You’ll be directly contributing to the global

Race To Perfect Speech AI

 Benchmarking the world’s speech models

○ Design and run evaluations for ASR and speech-to-speech systems.

○ Create benchmarks that will guide top AI labs on where their models

fail and where they shine.

 Modeling & Fine-Tuning

○ Fine-tune speech recognition systems (like Whisper/wav2vec2) to push

Word Error Rates toward ~5%.

○ Experiment with multilingual, code-switched, and noisy speech

to mimic real-world conditions.

 Impact at Scale

○ Your work won’t just sit in a paper. It will influence how the

world’s largest AI models get built, tested, and improved.

Who We’re Looking For

Final-year undergraduates (B.Tech/B.E.) in CSE, EE, AI/ML, or related fields.
Strong interest in speech, audio, NLP, or multimodal AI.
Hands-on experience in one or more of:

○ Fine-tuning speech or language models (Whisper, wav2vec2,

HuBERT, SER, etc.)

○ Building speech-driven projects (assistants, classifiers, chatbots,

SER systems)

○ Working with PyTorch, TensorFlow, or Hugging Face transformers.

Bonus: past projects on GitHub, Kaggle, or research papers.

Why Join Us

Ownership: Even as a final-year student, you’ll get the chance to own

problems of global importance — from reducing ASR word error rates toward

5% to building benchmarks that influence how the next generation of

Speech-to-speech Models Are Developed. These Are Not Side Projects

the problems you’ll work on may define how billions of people interact

with machines in the future.

Front-row seat in speech AI: Your work will shape benchmarks and datasets

used by the world’s top model labs.

Learning: Work with experts solving speech challenges across 20+

Indian languages and noisy, real-world audio.

Impactful projects: The benchmarks and models you help build will

set direction for global AI progress.

Startup energy, global scale: Small team, big impact — perfect for ambitious

builders.

Co-Authorship: If any of the work you contribute to is published as a paper,

benchmark report, or dataset release, you will be credited as a co-author.

This means your contributions won’t just stay inside the lab — they’ll be

visible to the wider research community and part of the academic and

industry record.

Details

Location: Gurgaon (on-site preferred for collaboration)
Duration: 6–12 months
Type: Paid Internship (full-time)
Start Date: Flexible for final-year students (aligns with academic calendar)

If you’re someone who dreams of making speech AI as natural as human

conversation, this is your chance to work on the real frontier. Super interested?

Skills:- Machine Learning (ML)",https://media.licdn.com/dms/image/v2/C4D0BAQEhXz8cBVn4Vw/company-logo_100_100/company-logo_100_100/0/1672770926771/joshtalks_logo?e=1776297600&v=beta&t=4glboJZMLKY_sJS8edDbb-uZFG6cDzkc9lquXtMkABk
"AI Researcher, Speech & Audio, Intern | Josh Talks",Josh Talks,https://www.linkedin.com/jobs/view/4303750047,https://www.linkedin.com/jobs/view/4303750047,"About the job
This job is sourced from a job board. Learn More
form :https://forms.gle/ncGqEJrJDvEDhXtL7

AI Researcher, Speech & Audio, Intern -

Internship Opportunity at JoshTalks AI Lab

(ai.joshtalks.com)

Location: Gurgaon, India

Type: Full-time Internship (6–12 months)

Who: Final-year engineering students or recent graduates passionate about AI/ML

in speech

About Us

At JoshTalks AI Lab, we believe that voice will be the primary medium of interaction

between man and machine. Our mission is simple yet ambitious:

Help machines talk like humans.
Build the benchmarks and datasets that become the backbone of global

progress in speech AI.

Drive improvements not just through compute or algorithms — but through

high-quality, diverse, real-world data.

Our datasets today power some of the largest and most widely used speech

models in the world (you’ve definitely used them, even if we can’t name them

😉).

What You’ll Work On

This is not a “just another internship.” You’ll be directly contributing to the global

Race To Perfect Speech AI

 Benchmarking the world’s speech models

○ Design and run evaluations for ASR and speech-to-speech systems.

○ Create benchmarks that will guide top AI labs on where their models

fail and where they shine.

 Modeling & Fine-Tuning

○ Fine-tune speech recognition systems (like Whisper/wav2vec2) to push

Word Error Rates toward ~5%.

○ Experiment with multilingual, code-switched, and noisy speech

to mimic real-world conditions.

 Impact at Scale

○ Your work won’t just sit in a paper. It will influence how the

world’s largest AI models get built, tested, and improved.

Who We’re Looking For

Final-year undergraduates (B.Tech/B.E.) in CSE, EE, AI/ML, or related fields.
Strong interest in speech, audio, NLP, or multimodal AI.
Hands-on experience in one or more of:

○ Fine-tuning speech or language models (Whisper, wav2vec2,

HuBERT, SER, etc.)

○ Building speech-driven projects (assistants, classifiers, chatbots,

SER systems)

○ Working with PyTorch, TensorFlow, or Hugging Face transformers.

Bonus: past projects on GitHub, Kaggle, or research papers.

Why Join Us

Ownership: Even as a final-year student, you’ll get the chance to own

problems of global importance — from reducing ASR word error rates toward

5% to building benchmarks that influence how the next generation of

Speech-to-speech Models Are Developed. These Are Not Side Projects

the problems you’ll work on may define how billions of people interact

with machines in the future.

Front-row seat in speech AI: Your work will shape benchmarks and datasets

used by the world’s top model labs.

Learning: Work with experts solving speech challenges across 20+

Indian languages and noisy, real-world audio.

Impactful projects: The benchmarks and models you help build will

set direction for global AI progress.

Startup energy, global scale: Small team, big impact — perfect for ambitious

builders.

Co-Authorship: If any of the work you contribute to is published as a paper,

benchmark report, or dataset release, you will be credited as a co-author.

This means your contributions won’t just stay inside the lab — they’ll be

visible to the wider research community and part of the academic and

industry record.

Details

Location: Gurgaon (on-site preferred for collaboration)
Duration: 6–12 months
Type: Paid Internship (full-time)
Start Date: Flexible for final-year students (aligns with academic calendar)

If you’re someone who dreams of making speech AI as natural as human

conversation, this is your chance to work on the real frontier. Super interested?

Skills:- Machine Learning (ML)",N/A
AI/ML + Automation Intern (Selenium / Playwright),RegisterKaro,https://www.linkedin.com/jobs/view/4390903702,https://www.linkedin.com/jobs/view/4390903702,"About the job
Job Title: AI/ML Intern
Location: Gurugram, Sector 32 (On-site)
Duration: 3–6 Months

We are looking for an AI/ML Intern who is eager to gain hands-on experience working on real-world AI applications, automation systems, and intelligent workflows. You will work closely with the engineering team to build and experiment with machine learning models, LLM workflows, and automation tools.

Key Responsibilities

• Assist in developing and testing AI/ML models for practical applications
• Work with Large Language Models (LLMs) to support GenAI workflows such as RAG pipelines, prompt engineering, and tool integrations
• Help build automation workflows integrating APIs, webhooks, and external tools
• Perform data preprocessing, dataset preparation, and analysis for ML models
• Support document and image processing tasks using computer vision techniques
• Write automation scripts using Playwright and Selenium
• Test, debug, and improve existing AI workflows and automation pipelines

Required Skills

• Strong knowledge of Python
• Understanding of Machine Learning fundamentals
• Familiarity with LLMs / Generative AI concepts
• Basic knowledge of APIs and automation workflows
• Strong analytical and problem-solving skills

Good to Have

• Exposure to Computer Vision or Deep Learning frameworks
• Familiarity with Selenium / Playwright or browser automation
• Basic understanding of RAG pipelines or prompt engineering
• Experience with Git, Docker, or cloud platforms

What We Value

• Strong ownership and problem-solving ability
• Curiosity and willingness to learn quickly
• Ability to build, experiment, and iterate in a fast-paced environment
• Comfort working with ambiguity and new challenges

⚠️ Important: Hands-on experience with Selenium or Playwright is mandatory for this role.",https://media.licdn.com/dms/image/v2/C560BAQHsm44wqpCS5A/company-logo_100_100/company-logo_100_100/0/1675522236091/registerkaro_logo?e=1776297600&v=beta&t=6DS-PRI4cfyb951QPojSbWrrYPIE8B7bkzT7oXn1Qx0
